[  140479ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0041 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140479ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0042 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140480ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0044 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140480ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0045 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140480ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0049 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140481ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+004D locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140481ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+004F locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140481ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0052 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140481ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0053 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140482ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0054 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140482ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0031 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  140482ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0033 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  301042ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0020 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
[  301042ms] [WARNING] Unable to load glyph range 0, 0-255. Rendering codepoint U+0048 locally instead. Error: AJAXError:  (404): https://demotiles.maplibre.org/fonts/Open Sans/0-255.pbf @ https://malta-osint.vercel.app/_next/static/chunks/0npgdgq4iatno.js:0
